id,en,jp,trans
0-chapter_name,,第1話 喝采なき帰還,第1話 喝采なき帰還
0-synopsis,,アルスター島に到着した姬塔達は、騎空艇の発着所が手入れされていることを不思議に思う。ノイシュも、自らが島を発った時はもっと荒れていたと話すのだった。,アルスター島に到着した姬塔達は、騎空艇の発着所が手入れされていることを不思議に思う。ノイシュも、自らが島を発った時はもっと荒れていたと話すのだった。
0,,<span class='scene-font-katari'>姬塔達は、</span><br><span class='scene-font-katari'>かつてアイルスト王国があった</span><br><span class='scene-font-katari'>アルスター島へと辿りついた。</span>,<span class='scene-font-katari'>一行人就这样</span><br><span class='scene-font-katari'>来到艾尔斯特王国</span><br><span class='scene-font-katari'>所在的艾尔斯特岛。</span>
1,,……生きて再び<br>故郷の土を踏むことになるとは。,...没想到<br>我还能活着踏上故乡的土地啊。
2,,それにしても……思ってたより<br>荒れてねぇんだな。<br>いや、いいことだけどさ。,话说回来...这里<br>还真比想象中的要荒凉啊。<br>不...其实也不差啦。
3,,そうですね、この発着場も<br>草を刈りこんであって<br>手入れされてるみたいです。,说的也是呢<br>这个降落地点的草地<br>好像有人整理过的样子。
4,,確かに……私が発つ直前は、<br>魔物が暴れ回った後で<br>酷い状況だったんだが……,确实...在我出发前<br>这里还都是被魔物群<br>蹂躏过的凄惨样子...
5,,でも、荒れてるよりもいいですよね！<br>きっと島に残った人がいるんですよ。,但是，还是比直接荒废好多了！<br>肯定是留在岛上的人们做的。
6,,そうだな、ルリア殿の言うとおりだ。,说的对，就如同露丽亚殿下说的那样。
7,,……この発着場のそばに、<br>元は宿場町だった場所がある。<br>案内しよう。,...这个降落点的附近<br>原本是旅店聚集的地方<br>就让我来带路吧。
info,,1,scene_evt150930_cp1_q1_s10
