id,en,jp,trans
0-synopsis,,故国が滅亡する原因を作ってしまった自責の念から、巡礼の旅に出ていた騎士ノイシュ。己の命を顧みない彼を案じて、姬塔は自らの騎空団にノイシュを加えた。姬塔達との出会いを経て、自分が罪から逃げていたのではないかと考えるようになったノイシュは故郷のアルスター島へ戻ることを決意し、仲間達もそれに同行すると決める。,故国が滅亡する原因を作ってしまった自責の念から、巡礼の旅に出ていた騎士ノイシュ。己の命を顧みない彼を案じて、姬塔は自らの騎空団にノイシュを加えた。姬塔達との出会いを経て、自分が罪から逃げていたのではないかと考えるようになったノイシュは故郷のアルスター島へ戻ることを決意し、仲間達もそれに同行すると決める。
0,,<span class='scene-font-katari'>姬塔達は旅の途中、</span><br><span class='scene-font-katari'>突如現れた魔物の群れに囲まれ</span><br><span class='scene-font-katari'>苦戦を強いられていた。</span>,<span class='scene-font-katari'>一行人在旅途中</span><br><span class='scene-font-katari'>被突如其来的魔物所包围</span><br><span class='scene-font-katari'>并陷入了苦战。</span>
1,,<span class='scene-font-katari'>そこに現れた騎士、ノイシュが</span><br><span class='scene-font-katari'>手助けをしてくれて事なきを得たが</span><br><span class='scene-font-katari'>ノイシュは傷を負ってしまった。</span>,<span class='scene-font-katari'>幸亏得到了</span><br><span class='scene-font-katari'>骑士诺伊修的出手相救</span><br><span class='scene-font-katari'>但同时他也因此负伤。</span>
2,,人を助けて<br>わが生涯を閉じられるのならば本望だ。,如果是因为帮助他人<br>而奉献此生的话<br>也算是死得其所了。
3,,いや……不義の騎士には、<br>むしろ過ぎた名誉か……,不...对于我这个不义的骑士而言<br>应该算是过高的荣誉吧...
4,,<span class='scene-font-katari'>無茶な戦い方をするノイシュを</span><br><span class='scene-font-katari'>案じる姬塔達に、</span><br><span class='scene-font-katari'>彼は己の過去の一端を語った。</span>,<span class='scene-font-katari'>对于诺伊修乱来的战斗方式</span><br><span class='scene-font-katari'>一行人也感到很困惑</span><br><span class='scene-font-katari'>而他也娓娓道来他的过去。</span>
5,,忠を尽くすべき祖国と王を、<br>その手で滅ぼした不実の騎士に、<br>生を許される道理があるはずもない。,我这种名不符实的骑士<br>亲手毁灭了自己的国家<br>根本没有活下去的必要。
6,,<span class='scene-font-katari'>悔恨から自分を犠牲にする</span><br><span class='scene-font-katari'>戦い方を続けるノイシュを案じ、</span><br><span class='scene-font-katari'>姬塔達は彼を仲間に加えた。</span>,<span class='scene-font-katari'>因为担心他</span><br><span class='scene-font-katari'>因为悔恨而想要牺牲</span><br><span class='scene-font-katari'>一行人决定让他加入成为伙伴。</span>
9,,<span class='scene-font-katari'>旅を続ける中で</span><br><span class='scene-font-katari'>姬塔達とノイシュは</span><br><span class='scene-font-katari'>良き仲間として絆を深めていった。</span>,<span class='scene-font-katari'>在旅途中</span><br><span class='scene-font-katari'>一行人与诺伊修</span><br><span class='scene-font-katari'>也逐渐结下了深深的羁绊。</span>
10,,<span class='scene-font-katari'>その影響か、ノイシュの</span><br><span class='scene-font-katari'>自己犠牲的な戦い方は</span><br><span class='scene-font-katari'>少しずつ治まってきた。</span>,<span class='scene-font-katari'>以此为契机</span><br><span class='scene-font-katari'>诺伊修那不要命的战斗方式</span><br><span class='scene-font-katari'>也稍微好转了一些。</span>
