id,en,jp,trans
0-chapter_name,,第1話 喝采なき帰還,第1話 喝采なき帰還
0-synopsis,,商人はアイルスト王国王族の姉弟、ヘルエスとセルエルが復興の指揮を取っていると教えてくれる。それを聞いたノイシュは、ふたりはコノール王が存命の頃から王家の両輪と呼ばれていたのだと語り、納得した様子を見せる。,商人はアイルスト王国王族の姉弟、ヘルエスとセルエルが復興の指揮を取っていると教えてくれる。それを聞いたノイシュは、ふたりはコノール王が存命の頃から王家の両輪と呼ばれていたのだと語り、納得した様子を見せる。
0,,うーん、確かに魔物が多いですね……,呃...魔物真的很多呢
1,,これでも、前よりは随分良いんです。<br>王家のご姉弟が戻られて、<br>復興の指揮を取って下さって。,现在这情况已经比之前好多了。<br>多亏了王家姐弟回来<br>指挥复兴的进行。
2,,弟君のセルエル様と、<br>姉君のヘルエス様か！,是王子赛鲁艾路大人<br>和王女海尔艾丝大人吗！
3,,……あの時は、<br>おふたりは他国に助力するため<br>遠征に出ておられたからな……,...那个时候<br>两位都为了帮助他国<br>而出国远征了啊...
4,,セルエルさま……あっ、そうか！<br>あいつ、アイルスト王国の<br>王子様だったんだっけ。,赛鲁艾路大人...啊，对哦<br>那家伙是艾尔斯特王国<br>的王子来着。
5,,ええ、復興が進んでから<br>セルエル様は一度国を出られて、<br>また最近戻ってらしたんですよ。,是的，开始复兴工作后<br>赛鲁艾路大人曾经出国一阵子<br>直到最近才回来呢。
6,,そういえば、セルエルさん<br>故郷の様子が気になるって<br>先に戻ってるんですよね。,说起来，赛鲁艾路好像很担心<br>故乡的样子<br>所以先回来了呢。
7,,城下町に行ったら<br>会えるのかな？,不知道到王都能见到他吗
8,,父王のコノール様がご存命の頃から<br>おふたりは王家の両輪と<br>呼ばれていた……,在国王康纳尔大人还在位的时候<br>两位大人就已经被称为“王家的双轮”了呢...
9,,短期間で復興できたのは、<br>おふたりの手腕と人望の<br>賜物ということか。,能在如此短的时间内<br>复兴到这种程度<br>完全是拜两位大人的手腕与威望吧。
10,,ええ、まったくその通りですよ！,是啊，你说的一点也没错！
11,,このまま、柄の悪い人に<br>頼らずに済むようになれば<br>いいんですけどねぇ。,如果按这程度发展下去<br>之后就不用再依靠那种坏人就好了啊。
info,,1,scene_evt150930_cp1_q2_s20
